Purchase Order ID,Dept  Code,Dept Name,Vendor Number,Vendor Name,Commodity Title,Post Date,Total,Vendor Zip
DPAC10001551,AIR,AIRPORT COMMISSION,13970,OUTBOARD MOTOR SHOP,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/29/2010 07:00:00 AM +0000,$1393.46,946060000
DPAC10001550,AIR,AIRPORT COMMISSION,13791,FRANK A OLSEN CO,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/29/2010 07:00:00 AM +0000,$6060.43,945510000
DPAC10001549,AIR,AIRPORT COMMISSION,68763,DIRECT BUSINESS CONNECTION,"PAPER; COMPUTER, COPIER, DRAFTING, GRAPHIC ARTS, R",06/29/2010 07:00:00 AM +0000,$9570.22,94110
DPAC10001548,AIR,AIRPORT COMMISSION,4852,CHEMSEARCH,SEWAGE & WATER TREATMENT CHEMICALS & CHEMICAL PRDT,06/29/2010 07:00:00 AM +0000,$430.99,606731232
DPAC10001547,AIR,AIRPORT COMMISSION,8713,FLUID GAUGE COMPANY,"VALVES, GATE, WATER",06/29/2010 07:00:00 AM +0000,$2342.21,941881833
DPAC10001546,AIR,AIRPORT COMMISSION,2523,ASSOCIATION OF BAY AREA GOVERNMENTS,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/29/2010 07:00:00 AM +0000,$251.28,94604
DPAC10001543,AIR,AIRPORT COMMISSION,60640,MAILFINANCE INC,"OFFICE,MAILING&LIBRARY EQPT,MATLS&SUPPL(ALSO SEE R",06/23/2010 07:00:00 AM +0000,$924.26,941450822
DPAC10001542,AIR,AIRPORT COMMISSION,8581,GRANT'S ENGINEERING & MACHINE CO,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/23/2010 07:00:00 AM +0000,$1763.40,941034015
DPAC10001541,AIR,AIRPORT COMMISSION,3857,BUCKLES-SMITH ELECTRIC CO,"ELEVATOR, ESCALATOR & MOVING WALKWAY SYS, EQPT, PA",06/23/2010 07:00:00 AM +0000,$1112.06,951263712
DPAC10001539,AIR,AIRPORT COMMISSION,50813,BAY REPROGRAPHIC & SUPPLY INC,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/21/2010 07:00:00 AM +0000,$8027.84,94063
DPAC10001538,AIR,AIRPORT COMMISSION,80055,CARTWRIGHT DESIGN STUDIO,"REPROGRAPHICS SVCS; ARTWORK, LAYOUT, PRODUCTION, .",06/21/2010 07:00:00 AM +0000,$2400.00,94037
DPAC10001537,AIR,AIRPORT COMMISSION,72045,RON L BISHOP ASSOCIATES INC,SVC;WATER/SEWER,06/18/2010 07:00:00 AM +0000,$1525.00,95015
DPAC10001536,AIR,AIRPORT COMMISSION,4193,CALIFORNIA CLASSIC VANS,AUTOMOTIVE SYS/COMPONENT/PART/ACCESS/TOOL/EQPT/SUP,06/18/2010 07:00:00 AM +0000,$2461.35,940801218
DPAC10001535,AIR,AIRPORT COMMISSION,90325,CALUMET PHOTOGRAPHIC,PHOTO;EQPT-CAMERA/FLASH/ENLARGER/TIMER ...,06/22/2010 07:00:00 AM +0000,$4949.33,606785118
DPAC10001533,AIR,AIRPORT COMMISSION,47548,BESAM ENTRANCE SOLUTIONS,"CHARGE;TRAVEL TIME,FOR REPAIR SVC",06/18/2010 07:00:00 AM +0000,$9970.46,85205212
DPAC10001532,AIR,AIRPORT COMMISSION,19711,WEST COAST CONTRACTORS SERVICES,AUTOMOTIVE SYS/COMPONENT/PART/ACCESS/TOOL/EQPT/SUP,06/18/2010 07:00:00 AM +0000,$9991.88,941034385
DPAC10001531,AIR,AIRPORT COMMISSION,19711,WEST COAST CONTRACTORS SERVICES,AUTOMOTIVE SYS/COMPONENT/PART/ACCESS/TOOL/EQPT/SUP,06/21/2010 07:00:00 AM +0000,$2689.75,941034385
DPAC10001530,AIR,AIRPORT COMMISSION,59367,AVENUE CYCLERY,PARTS & ACCESSORIES; BICYCLE,06/16/2010 07:00:00 AM +0000,$2649.90,94117
DPAC10001529,AIR,AIRPORT COMMISSION,35367,LATCH TILE INC,"BRICKS, BLOCKS & TILES; CERAMIC, CLAY & CONCRETE -",06/16/2010 07:00:00 AM +0000,$3284.95,94124
DPAC10001526,AIR,AIRPORT COMMISSION,33993,NIXALITE OF AMERICA INC,CAPTURE/SHELTER EQPT/SUPPL;ANIMAL/BIRD/FISH/INSECT,06/15/2010 07:00:00 AM +0000,$6994.82,612440000
DPAC10001523,AIR,AIRPORT COMMISSION,81082,HOPKINS TECHNICAL PRODUCTS INC,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/10/2010 07:00:00 AM +0000,$356.14,15275
DPAC10001522,AIR,AIRPORT COMMISSION,24632,ESSENCE PRINTING,"PRINTING; BOOKS, BROCHURES, CATALOGS, TIMETABLES,",06/10/2010 07:00:00 AM +0000,$2355.43,94080
DPAC10001521,AIR,AIRPORT COMMISSION,19933,WILCO SUPPLY,MISCELLANEOUS BUILDING & CONSTRUCTION MATLS & SUPP,06/10/2010 07:00:00 AM +0000,$2622.01,946090000
DPAC10001520,AIR,AIRPORT COMMISSION,4650,CEILING SYSTEMS SUPPLY,CEILING & WALL TILES (NON-CERAMIC) & RELATED HARDW,06/10/2010 07:00:00 AM +0000,$8293.75,941241117
DPAC10001519,AIR,AIRPORT COMMISSION,74423,KELLY-MOORE PAINT CO INC,"PAINTING TOOLS, EQPT, MACHINERY, ACCESS & SUPPL, .",06/10/2010 07:00:00 AM +0000,$6488.36,95687
DPAC10001518,AIR,AIRPORT COMMISSION,9968,INTERSTATE TRAFFIC CONTROL PRODUCTS,"PAINTS, PRIMERS, STAINS, VARNISHES, THINNERS",06/14/2010 07:00:00 AM +0000,$9668.65,94070
DPAC10001517,AIR,AIRPORT COMMISSION,7862,FREGOSI & COMPANY PAINTS INC,"PAINTS, PRIMERS, STAINS, VARNISHES, THINNERS",06/10/2010 07:00:00 AM +0000,$7142.47,94107
DPAC10001516,AIR,AIRPORT COMMISSION,79870,GANCHAN INC DBA EXTREME PIZZA,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/09/2010 07:00:00 AM +0000,$1893.97,94132
DPAC10001513,AIR,AIRPORT COMMISSION,8057,GARRATT-CALLAHAN CO,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/07/2010 07:00:00 AM +0000,$3420.49,94010
DPAC10001511,AIR,AIRPORT COMMISSION,9661,IMAGE SALES INC,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/09/2010 07:00:00 AM +0000,$9974.94,94520
DPAC10001510,AIR,AIRPORT COMMISSION,31610,CITY LUMBER & HARDWARE,HARDWARE;LOCK/SET/MORTISE/KEY ...,06/07/2010 07:00:00 AM +0000,$4942.47,941030000
DPAC10001509,AIR,AIRPORT COMMISSION,5119,CLARK SECURITY PRODUCTS,HARDWARE;LOCK/SET/MORTISE/KEY ...,06/07/2010 07:00:00 AM +0000,$9803.46,911101195
DPAC10001508,AIR,AIRPORT COMMISSION,68763,DIRECT BUSINESS CONNECTION,"PAPER; COMPUTER, COPIER, DRAFTING, GRAPHIC ARTS, R",06/07/2010 07:00:00 AM +0000,$9635.66,94110
DPAC10001505,AIR,AIRPORT COMMISSION,43093,FUEL QUALITY MANAGEMENT,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/04/2010 07:00:00 AM +0000,$1927.87,953524508
DPAC10001504,AIR,AIRPORT COMMISSION,9968,INTERSTATE TRAFFIC CONTROL PRODUCTS,SIGN; TRFFC CNTRL&RELATED MATLS,06/03/2010 07:00:00 AM +0000,$7598.72,94070
DPAC10001503,AIR,AIRPORT COMMISSION,80220,SUPERSIGHT SEEING TOURS,"CHARGE, EXTRA-ORDINARY FEES/TAXES",06/14/2010 07:00:00 AM +0000,$1677.72,94122
DPAC10001502,AIR,AIRPORT COMMISSION,61799,DELI-UP CAFE,FOOD;BAKERY PRODUCT,06/03/2010 07:00:00 AM +0000,$1315.92,94128
DPAC10001501,AIR,AIRPORT COMMISSION,17267,SNOW & GALGIANI,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/03/2010 07:00:00 AM +0000,$4090.00,940806217
DPAC10001499,AIR,AIRPORT COMMISSION,31317,CENTRAL BUILDERS SUPPLY,MISCELLANOUS PLUMBING SUPPLIES,06/03/2010 07:00:00 AM +0000,$4992.73,941153517
DPAC10001498,AIR,AIRPORT COMMISSION,11714,MALTBY ELECTRIC SUPPLY CO INC,"TELECOMMUNICATIONS EQPT, PARTS, ACCESS & SUPPL,",06/03/2010 07:00:00 AM +0000,$5856.61,941034092
DPAC10001497,AIR,AIRPORT COMMISSION,11714,MALTBY ELECTRIC SUPPLY CO INC,"ELECTRO-MECHANICAL SYS, EQPT, PARTS, & SUPPL",06/03/2010 07:00:00 AM +0000,$1481.34,941034092
DPAC10001496,AIR,AIRPORT COMMISSION,8549,GRAINGER,"FLASHLIGHT  (ALL TYPES, APPLICATIONS & SIZES)",06/03/2010 07:00:00 AM +0000,$952.77,600380001
DPAC10001494,AIR,AIRPORT COMMISSION,10390,K-119 OF CALIFORNIA INC,"TOOL; GENERAL/SHOP,INCLDNG EQPT/PARTS/SUPPL,CRAFTS",06/03/2010 07:00:00 AM +0000,$2403.45,940663204
DPAC10001493,AIR,AIRPORT COMMISSION,67061,RANGE MAINTENANCE SERVICES LLC,"SERVICES;ENVIRONMENTAL,HEALTH&SAFETY",06/03/2010 07:00:00 AM +0000,$5000.00,95223
DPAC10001492,AIR,AIRPORT COMMISSION,47548,BESAM ENTRANCE SOLUTIONS,"CHARGE;TRAVEL TIME,FOR REPAIR SVC",05/28/2010 07:00:00 AM +0000,$9970.46,85205212
DPAC10001491,AIR,AIRPORT COMMISSION,26462,A D I,MAGNETEK; ELECT MATLS/SUPPL/FXTRS ................,05/28/2010 07:00:00 AM +0000,$207.56,60693
DPAC10001489,AIR,AIRPORT COMMISSION,49917,UNITED RENTALS,"CHARGE,ENERGY SURCHARGE",05/28/2010 07:00:00 AM +0000,$3242.00,752846394
DPAC10001488,AIR,AIRPORT COMMISSION,65965,PENINSULA UNIFORM & EQUIPMENT INC,"LAW ENFORCEMENT UNIFORMS; POLICE,SHERIFF,PARKING&T",05/27/2010 07:00:00 AM +0000,$252.37,940631533
DPAC10001487,AIR,AIRPORT COMMISSION,15107,PUMP REPAIR SERVICE CO,CHARGE;DELIVERY/FREIGHT/SHIPPING,05/28/2010 07:00:00 AM +0000,$6109.65,941340327
DPAC10001486,AIR,AIRPORT COMMISSION,29826,GARMESON GLASS & METAL,CHARGE;DELIVERY/FREIGHT/SHIPPING,05/27/2010 07:00:00 AM +0000,$6615.04,941240364
DPAC10001485,AIR,AIRPORT COMMISSION,66745,S & S SUPPLIES & SOLUTIONS,"RAINWEAR, WORK UNIFORMS;",05/27/2010 07:00:00 AM +0000,$3809.94,94553
DPAC10001484,AIR,AIRPORT COMMISSION,16960,SHIP ART INTERNATIONAL,"SVC;ART OBJECT/WORK,PACKING/STORING/DELIVERY",05/28/2010 07:00:00 AM +0000,$2775.00,94083
DPAC10001483,AIR,AIRPORT COMMISSION,16960,SHIP ART INTERNATIONAL,"SVC;ART OBJECT/WORK,PACKING/STORING/DELIVERY",05/28/2010 07:00:00 AM +0000,$750.00,94083
DPAC10001482,AIR,AIRPORT COMMISSION,67520,DIGITAL PRE-PRESS INTERNATIONAL (DPI),PRINTING; LABELS,05/27/2010 07:00:00 AM +0000,$1726.82,94107
DPAC10001481,AIR,AIRPORT COMMISSION,3306,BERONIO LUMBER CO,"WOOD & PREFABRICATED WOOD PRDTS; LUMBER, PLYWOOD,",05/26/2010 07:00:00 AM +0000,$5456.39,941241095
DPAC10001480,AIR,AIRPORT COMMISSION,24632,ESSENCE PRINTING,"PRINTING/ENGRAVING; ANNOUNCEMENTS, AWARDS, BUSINES",05/26/2010 07:00:00 AM +0000,$256.74,94080
DPAC10001479,AIR,AIRPORT COMMISSION,8549,GRAINGER,"TOOL; GENERAL/SHOP,INCLDNG EQPT/PARTS/SUPPL,CRAFTS",05/26/2010 07:00:00 AM +0000,$2428.17,600380001
DPAC10001478,AIR,AIRPORT COMMISSION,8549,GRAINGER,"TOOL; GENERAL/SHOP,INCLDNG EQPT/PARTS/SUPPL,CRAFTS",05/26/2010 07:00:00 AM +0000,$1369.30,600380001
DPAC10001477,AIR,AIRPORT COMMISSION,8549,GRAINGER,"VACUUM CLEANERS, ATTACHMENTS, PARTS & SUPPL",05/26/2010 07:00:00 AM +0000,$1173.08,600380001
DPAC10001476,AIR,AIRPORT COMMISSION,27478,GIVE SOMETHING BACK LLC,"PAPER; COMPUTER, COPIER, DRAFTING, GRAPHIC ARTS, R",05/26/2010 07:00:00 AM +0000,$3111.99,90189
DPAC10001475,AIR,AIRPORT COMMISSION,30052,T-SHIRT FEVER,ATHLETIC UNIFORMS & SPORTSWEAR,06/04/2010 07:00:00 AM +0000,$1168.04,940140000
DPAC10001474,AIR,AIRPORT COMMISSION,45198,PACIFIC WATER RESOURCES INC,CHARGE;DELIVERY/FREIGHT/SHIPPING,05/25/2010 07:00:00 AM +0000,$1022.84,94010
DPAC10001473,AIR,AIRPORT COMMISSION,2131,ANCHOR FENCE CO INC,"METAL FENCING/GATE,PART&MATL;CHAIN LINKED/WIRE, ..",05/25/2010 07:00:00 AM +0000,$1881.83,94014
DPAC10001472,AIR,AIRPORT COMMISSION,15703,CLEAN SOURCE,"JANITORIAL EQPT, PARTS & SUPPL INCLUDING EQPT MAIN",05/25/2010 07:00:00 AM +0000,$4964.98,951619107
DPAC10001471,AIR,AIRPORT COMMISSION,49917,UNITED RENTALS,"CHARGE,ENERGY SURCHARGE",05/25/2010 07:00:00 AM +0000,$662.57,752846394
DPAC10001470,AIR,AIRPORT COMMISSION,11726,MANERI SIGN CO INC,"SIGNMAKING EQPT, MATLS & SUPPL",05/25/2010 07:00:00 AM +0000,$2910.34,902490000
DPAC10001469,AIR,AIRPORT COMMISSION,15329,RAMOS OIL COMPANY INC,"CHARGE,ENERGY SURCHARGE",05/24/2010 07:00:00 AM +0000,$5780.89,941390001
DPAC10001468,AIR,AIRPORT COMMISSION,8985,HARRISON & BONINI INC,"AUTOMOTIVE SHOP TOOLS, EQPT & MACHINERY",05/25/2010 07:00:00 AM +0000,$6981.08,941034525
DPAC10001467,AIR,AIRPORT COMMISSION,8057,GARRATT-CALLAHAN CO,SEWAGE & WATER TREATMENT CHEMICALS & CHEMICAL PRDT,05/25/2010 07:00:00 AM +0000,$8768.22,94010
DPAC10001466,AIR,AIRPORT COMMISSION,78874,CONKLIN BROS OF SAN JOSE INC,"ELEVATOR, ESCALATOR & MOVING WALKWAY SYS, EQPT, PA",06/14/2010 07:00:00 AM +0000,$2298.31,95125
DPAC10001465,AIR,AIRPORT COMMISSION,5264,COIT SERVICE INC,"WINDOWS & WINDOW AWNINGS, BLINDS, FILMS, FRAMES, S",05/25/2010 07:00:00 AM +0000,$3895.19,94010
DPAC10001464,AIR,AIRPORT COMMISSION,14070,PACIFIC COAST TRANE SERVICE,CHARGE;DELIVERY/FREIGHT/SHIPPING,05/28/2010 07:00:00 AM +0000,$2906.14,94085
DPAC10001463,AIR,AIRPORT COMMISSION,15107,PUMP REPAIR SERVICE CO,BLDG/CONSTR/INDSTRL;HVAC-HEATING/VENTILATION/AIR C,05/25/2010 07:00:00 AM +0000,$1826.24,941340327
DPAC10001462,AIR,AIRPORT COMMISSION,19363,VINCENT ELECTRIC MOTOR CO INC,"ELEVATOR, ESCALATOR & MOVING WALKWAY SYS, EQPT, PA",05/25/2010 07:00:00 AM +0000,$3183.12,94621
DPAC10001460,AIR,AIRPORT COMMISSION,5341,C C H INC,CHARGE;DELIVERY/FREIGHT/SHIPPING,05/24/2010 07:00:00 AM +0000,$452.54,606805490
DPAC10001459,AIR,AIRPORT COMMISSION,77392,KH PLUMBING SUPPLY INC,CHARGE;DELIVERY/FREIGHT/SHIPPING,05/19/2010 07:00:00 AM +0000,$3859.88,94124
DPAC10001458,AIR,AIRPORT COMMISSION,78874,CONKLIN BROS OF SAN JOSE INC,CHARGE;LABOR,05/19/2010 07:00:00 AM +0000,$9969.21,95125
DPAC10001457,AIR,AIRPORT COMMISSION,24632,ESSENCE PRINTING,"REPROGRAPHICS SVCS; ARTWORK, LAYOUT, PRODUCTION, .",05/19/2010 07:00:00 AM +0000,$3285.20,94080
DPAC10001456,AIR,AIRPORT COMMISSION,5119,CLARK SECURITY PRODUCTS,HARDWARE;LOCK/SET/MORTISE/KEY ...,05/19/2010 07:00:00 AM +0000,$1304.88,911101195
DPAC10001455,AIR,AIRPORT COMMISSION,9277,HILTI INC,"TOOL; GENERAL/SHOP,INCLDNG EQPT/PARTS/SUPPL,CRAFTS",05/19/2010 07:00:00 AM +0000,$1196.31,741210000
DPAC10001454,AIR,AIRPORT COMMISSION,10390,K-119 OF CALIFORNIA INC,"TOOL; GENERAL/SHOP,INCLDNG EQPT/PARTS/SUPPL,CRAFTS",05/19/2010 07:00:00 AM +0000,$1463.68,940663204
DPAC10001453,AIR,AIRPORT COMMISSION,10390,K-119 OF CALIFORNIA INC,"TOOL; GENERAL/SHOP,INCLDNG EQPT/PARTS/SUPPL,CRAFTS",05/19/2010 07:00:00 AM +0000,$1147.07,940663204
DPAC10001452,AIR,AIRPORT COMMISSION,10390,K-119 OF CALIFORNIA INC,"WATER TREATMENT SYS, EQPT, PARTS, MATLS & SUPPL",05/19/2010 07:00:00 AM +0000,$844.33,940663204
DPAC10001450,AIR,AIRPORT COMMISSION,26462,A D I,CHARGE;DELIVERY/FREIGHT/SHIPPING,05/18/2010 07:00:00 AM +0000,$3566.17,60693
DPAC10001449,AIR,AIRPORT COMMISSION,35949,CORNER OFFICE,CHARGE;DELIVERY/FREIGHT/SHIPPING,05/17/2010 07:00:00 AM +0000,$298.04,949030000
DPAC10001448,AIR,AIRPORT COMMISSION,11714,MALTBY ELECTRIC SUPPLY CO INC,"VIDEO SURVEILLANCE SECURITY SYS, EQPT, PARTS, ACCE",05/17/2010 07:00:00 AM +0000,$6286.25,941034092
DPAC10001447,AIR,AIRPORT COMMISSION,42432,POLYDYNE INC,"POLYMER, CATIONIC, DAF THICKENING, SEWAGE TREAT, B",05/26/2010 07:00:00 AM +0000,$3687.15,303844642
DPAC10001446,AIR,AIRPORT COMMISSION,72479,MOBILE REPAIR SERVICES,"FURNITURE-CHAIR/STOOL;OFFICE,INCLUDING REPLACEMENT",05/17/2010 07:00:00 AM +0000,$9910.88,94551
DPAC10001445,AIR,AIRPORT COMMISSION,67520,DIGITAL PRE-PRESS INTERNATIONAL (DPI),PRINTING; LABELS,05/14/2010 07:00:00 AM +0000,$6149.52,94107
DPAC10001444,AIR,AIRPORT COMMISSION,67520,DIGITAL PRE-PRESS INTERNATIONAL (DPI),PRINTING; LABELS,05/14/2010 07:00:00 AM +0000,$2803.20,94107
DPAC10001441,AIR,AIRPORT COMMISSION,19363,VINCENT ELECTRIC MOTOR CO INC,"ELEVATOR, ESCALATOR & MOVING WALKWAY SYS, EQPT, PA",05/12/2010 07:00:00 AM +0000,$7704.90,94621
DPAC10001440,AIR,AIRPORT COMMISSION,49178,PROVEN MANAGEMENT INC,MAINT/REPAIR;HVAC SYS/EQPT-HEATING/VENTING/AIR CON,05/12/2010 07:00:00 AM +0000,$9989.00,941111704
DPAC10001438,AIR,AIRPORT COMMISSION,24632,ESSENCE PRINTING,"PRINTING/ENGRAVING; ANNOUNCEMENTS, AWARDS, BUSINES",05/12/2010 07:00:00 AM +0000,$561.55,94080
DPAC10001437,AIR,AIRPORT COMMISSION,4678,CENTER HARDWARE CO INC,"ROCKS & STONES, LARGE PIECES; GRANITE, MARBLE, ETC",05/12/2010 07:00:00 AM +0000,$8944.30,94107
